group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,pathway_GOID,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
int,1553,C5,GO:BP,15653,1379,GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,GO:0022613,410,110,0.2682926829268293,1.925258708440404e-27,8.652112635731176e-24,7.940172231231056e-24,"c(""Ddx54"", ""Rpl7a"", ""Surf6"", ""Lsm4"", ""Nob1"", ""Rexo4"", ""Srpk2"", ""Srsf5"", ""Ptbp2"", ""Rbm5"", ""LTO1"", ""Kat2b"", ""Riok3"", ""Luc7l3"", ""Rsl24d1"", ""Celf1"", ""Ago2"", ""Ddx3x"", ""Sf3a2"", ""Fam207a"", ""Srsf9"", ""Exosc4"", ""Gpatch4"", ""Gnl3l"", ""Noc4l"", ""Eif4h"", ""Srsf1"", ""Ythdf2"", ""Wdr12"", ""Ybey"", ""Pa2g4"", ""Nol10"", ""Mrps7"", ""Nop16"", ""Eif4a3"", ""C1qbp"", ""Mrto4"", ""Ruvbl2"", ""Rpf2"", ""Nop9"", ""Utp4"", ""Mrpl22"", ""Nmd3"", ""Ran"", ""Rpusd2"", ""Rsl1d1"", ""Ddx56"", ""Bop1"", ""Rrp12"", ""Ddx21"", ""Mybbp1a"", ""Nop58"", ""Dis3"", ""Nolc1"", ""Wdr3"", ""Ddx27"", 
""Urb2"", ""Mrps2"", ""Wdr43"", ""Mettl16"", ""Rrp8"", ""Eif2s3x"", ""Rrs1"", ""Ebna1bp2"", ""Prpf31"", ""Pes1"", ""Wdr74"", ""Bysl"", ""Rrp9"", ""Rrp7a"", ""Prpf3"", ""Bms1"", ""Dhx37"", ""Imp4"", ""Nol9"", ""Exosc3"", ""Ruvbl1"", ""Prmt5"", ""Ddx18"", ""Gtpbp4"", ""Nop2"", ""Heatr3"", ""Gemin5"", ""Dkc1"", ""Lyar"", ""Hsp90aa1"", ""Riok2"", ""Mphosph6"", ""Ppan"", ""Gar1"", ""Wdr46"", ""Ftsj3"", ""Pop4"", ""Tsr2"", ""Snrpb"", ""Eif6"", ""Snrpd3"", ""Npm3"", ""Eif4b"", ""Cdc73"", ""Gtf3a"", ""Pwp2"", ""Coil"", ""Mtrex"", ""Nat10"", ""Pdcd11"", ""Utp20"", ""Heatr1"", ""Eif3a"", ""Tsr1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_RIBOSOME_BIOGENESIS,GO:0042254,292,84,0.2876712328767123,2.3496284809339017e-23,5.279615196658477e-20,4.845181256999488e-20,"c(""Ddx54"", ""Rpl7a"", ""Surf6"", ""Nob1"", ""Rexo4"", ""LTO1"", ""Kat2b"", ""Riok3"", ""Rsl24d1"", ""Ddx3x"", ""Fam207a"", ""Exosc4"", ""Gpatch4"", ""Gnl3l"", ""Noc4l"", ""Ythdf2"", ""Wdr12"", ""Ybey"", ""Pa2g4"", ""Nol10"", ""Mrps7"", ""Nop16"", ""Eif4a3"", ""C1qbp"", ""Mrto4"", ""Rpf2"", ""Nop9"", ""Utp4"", ""Mrpl22"", ""Nmd3"", ""Ran"", ""Rpusd2"", ""Rsl1d1"", ""Ddx56"", ""Bop1"", ""Rrp12"", ""Ddx21"", ""Mybbp1a"", ""Nop58"", ""Dis3"", ""Nolc1"", ""Wdr3"", ""Ddx27"", ""Urb2"", ""Mrps2"", ""Wdr43"", ""Mettl16"", ""Rrp8"", ""Rrs1"", ""Ebna1bp2"", ""Pes1"", ""Wdr74"", ""Bysl"", ""Rrp9"", ""Rrp7a"", ""Bms1"", 
""Dhx37"", ""Imp4"", ""Nol9"", ""Exosc3"", ""Ddx18"", ""Gtpbp4"", ""Nop2"", ""Heatr3"", ""Dkc1"", ""Lyar"", ""Riok2"", ""Mphosph6"", ""Ppan"", ""Gar1"", ""Wdr46"", ""Ftsj3"", ""Pop4"", ""Tsr2"", ""Eif6"", ""Npm3"", ""Gtf3a"", ""Pwp2"", ""Mtrex"", ""Nat10"", ""Pdcd11"", ""Utp20"", ""Heatr1"", ""Tsr1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_NCRNA_PROCESSING,GO:0034470,370,96,0.2594594594594595,6.804839921760564e-23,1.0193650202797324e-19,9.354864145072944e-20,"c(""Ddx54"", ""Rpl7a"", ""Wdr4"", ""Nob1"", ""Rexo4"", ""Zbtb8os"", ""Bcdin3d"", ""Ankrd16"", ""Dalrd3"", ""Smad1"", ""Kat2b"", ""Riok3"", ""Rtcb"", ""Ago2"", ""Ddx3x"", ""Pusl1"", ""Tsen54"", ""Tyw5"", ""Fam207a"", ""Exosc4"", ""Thg1l"", ""Ints5"", ""Noc4l"", ""Ythdf2"", ""Wdr12"", ""Ybey"", ""Tyw1"", ""Pa2g4"", ""Nol10"", ""Eif4a3"", ""Mrto4"", ""Rpf2"", ""Nop9"", ""Utp4"", ""Dus1l"", ""Rpusd2"", ""Rsl1d1"", ""Ddx56"", ""Pop1"", ""Bop1"", ""Rrp12"", ""Ddx21"", ""Nop58"", ""Dis3"", ""Nolc1"", ""Wdr3"", ""Ddx27"", ""Wdr43"", ""Mettl16"", ""Rrp8"", ""Pus1"", ""Rrs1"", ""Ebna1bp2"", ""Pes1"", ""Wdr74"", ""Bysl"", 
""Rrp9"", ""Rrp7a"", ""Ints4"", ""Bms1"", ""Dhx37"", ""Imp4"", ""Nol9"", ""Exosc3"", ""Ddx18"", ""Gtpbp4"", ""Nop2"", ""Dkc1"", ""Lyar"", ""Riok2"", ""Mphosph6"", ""Ppan"", ""Gar1"", ""Wdr46"", ""Ftsj3"", ""Pop4"", ""Tsr2"", ""Eif6"", ""Npm3"", ""Ints11"", ""Pwp2"", ""Mtrex"", ""Pus10"", ""Nat10"", ""Pdcd11"", ""Tarbp1"", ""Trmt5"", ""Utp20"", ""Ints2"", ""Elac2"", ""Heatr1"", ""Dgcr8"", ""Adat1"", ""Tsr1"", ""Trmt44"", ""Thumpd1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_RRNA_METABOLIC_PROCESS,GO:0016072,256,75,0.29296875,1.7037280552859958e-21,1.9141384701138164e-18,1.7566332948975083e-18,"c(""Ddx54"", ""Rpl7a"", ""Nob1"", ""Rexo4"", ""Xrn1"", ""Kat2b"", ""Riok3"", ""Fam207a"", ""Exosc4"", ""Noc4l"", ""Ythdf2"", ""Wdr12"", ""Ybey"", ""Pa2g4"", ""Ncl"", ""Nol10"", ""Eif4a3"", ""Mrto4"", ""Rpf2"", ""Nop9"", ""Utp4"", ""Rpusd2"", ""Rsl1d1"", ""Ddx56"", ""Bop1"", ""Rrp12"", ""Ddx21"", ""Nop58"", ""Dis3"", ""Nolc1"", ""Wdr3"", ""Ddx27"", ""Polr1b"", ""Wdr43"", ""Mettl16"", ""Rrp8"", ""Rrs1"", ""Ebna1bp2"", ""Pes1"", ""Wdr74"", ""Bysl"", ""Rrp9"", ""Rrp7a"", ""Bms1"", ""Gtf3c5"", ""Dhx37"", ""Imp4"", ""Nol9"", ""Exosc3"", ""Ddx18"", ""Gtpbp4"", ""Nop2"", ""Dkc1"", ""Lyar"", ""Mars1"", ""Riok2"", ""Mphosph6"", 
""Ppan"", ""Gar1"", ""Wdr46"", ""Ftsj3"", ""Pop4"", ""Tsr2"", ""Eif6"", ""Npm3"", ""Slfn9"", ""Gtf3a"", ""Pwp2"", ""Mtrex"", ""Nat10"", ""Pdcd11"", ""Utp20"", ""Heatr1"", ""Smarca4"", ""Tsr1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_RNA_SPLICING,GO:0008380,392,78,0.1989795918367347,4.519727970598092e-12,4.062331499973565e-9,3.72806193448491e-9,"c(""Ddx46"", ""Ildr1"", ""Thrap3"", ""Rbm3"", ""Pnn"", ""Fus"", ""Lsm4"", ""Taf15"", ""Cactin"", ""Zbtb8os"", ""Rbm20"", ""Srpk2"", ""Ccnl1"", ""Srsf5"", ""Rbm42"", ""Raver2"", ""Ptbp2"", ""Akap8l"", ""Rbm5"", ""Scnm1"", ""Dhx35"", ""Tmbim6"", ""Clk1"", ""Clk4"", ""Rtcb"", ""Hnrnph2"", ""Luc7l3"", ""Dazap1"", ""Celf1"", ""Sf3a2"", ""U2af2"", ""Cdk12"", ""Tsen54"", ""Srsf9"", ""Rbm15"", ""Khsrp"", ""Srsf1"", ""Rbm17"", ""Srsf2"", ""Ncl"", ""Eif4a3"", ""C1qbp"", ""Ppil1"", ""Rnps1"", ""Lsm1"", ""Hnrnpu"", ""Eftud2"", ""Mbnl3"", ""Ppih"", ""Mettl16"", ""Magohb"", ""U2af1"", ""Prpf31"", ""Prpf4"", ""Tra2a"", 
""Rbm19"", ""Prpf3"", ""Ptbp1"", ""Prmt5"", ""Gemin5"", ""Prmt1"", ""Hspa8"", ""Hnrnpm"", ""Cwc22"", ""Hnrnpa3"", ""Rbm8a"", ""Snrpb"", ""Snrpd3"", ""Hnrnpa1"", ""Srrm1"", ""Coil"", ""Snrnp35"", ""Tra2b"", ""Mtrex"", ""Nup98"", ""Tcerg1"", ""Ppp1r8"", ""Thoc5"")"
int,1553,C5,GO:BP,15653,1379,GOBP_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION,GO:0010608,500,89,0.178,7.871662652584951e-11,5.895875326786128e-8,5.410732328566288e-8,"c(""Thrap3"", ""Mov10"", ""Nt5c3b"", ""Tsnax"", ""Tial1"", ""Rbm3"", ""Myd88"", ""Zfp598"", ""Fus"", ""Taf15"", ""Bcdin3d"", ""Eif4a2"", ""Ptk2b"", ""Dcp1b"", ""Rmnd1"", ""Tnrc6a"", ""Smad1"", ""Tob1"", ""Ppp3ca"", ""Xrn1"", ""Paip2"", ""Alkbh5"", ""Hnrnpa0"", ""Hnrnpd"", ""Prkca"", ""Celf1"", ""Akt2"", ""Ago2"", ""Ddx3x"", ""Dcp1a"", ""Larp1b"", ""Khsrp"", ""Gzmb"", ""Eif4h"", ""Ythdf2"", ""Pa2g4"", ""Ncl"", ""Pabpc4"", ""Etf1"", ""Shmt2"", ""Eif4a3"", ""C1qbp"", ""Eif5a"", ""Shmt1"", ""Tsfm"", ""Lsm1"", ""Eif4e"", ""Eif3b"", ""Ran"", ""Eif2b5"", ""Hnrnpu"", ""Eprs"", ""Dis3"", ""Nolc1"", ""Ilf3"", ""Pum3"", 
""Eif4enif1"", ""Larp1"", ""Cnot9"", ""Mettl16"", ""Larp4"", ""Caprin1"", ""Eif2s3x"", ""Eif2b4"", ""Eif4ebp1"", ""Pura"", ""Exosc3"", ""Gemin5"", ""Serbp1"", ""Dkc1"", ""Pkm"", ""Eif2s1"", ""Hnrnpm"", ""Apex1"", ""Rbm8a"", ""Eif6"", ""Eif4b"", ""Kbtbd8"", ""Pde12"", ""Pus10"", ""Nat10"", ""Ptcd3"", ""Dgcr8"", ""Aco1"", ""Eif4g1"", ""Zc3h18"", ""Gle1"", ""Akt1"", ""Dph2"")"
int,1553,C5,GO:BP,15653,1379,GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,GO:0000375,284,60,0.2112676056338028,1.1487871346994106e-10,7.375213404770216e-8,6.768342847747806e-8,"c(""Ddx46"", ""Thrap3"", ""Rbm3"", ""Pnn"", ""Lsm4"", ""Cactin"", ""Srpk2"", ""Srsf5"", ""Rbm42"", ""Raver2"", ""Ptbp2"", ""Rbm5"", ""Scnm1"", ""Dhx35"", ""Luc7l3"", ""Dazap1"", ""Celf1"", ""Sf3a2"", ""U2af2"", ""Srsf9"", ""Rbm15"", ""Khsrp"", ""Srsf1"", ""Rbm17"", ""Srsf2"", ""Ncl"", ""Eif4a3"", ""C1qbp"", ""Ppil1"", ""Rnps1"", ""Lsm1"", ""Hnrnpu"", ""Eftud2"", ""Mbnl3"", ""Ppih"", ""Mettl16"", ""Magohb"", ""U2af1"", ""Prpf31"", ""Prpf4"", ""Tra2a"", ""Rbm19"", ""Prpf3"", ""Ptbp1"", ""Prmt5"", ""Gemin5"", ""Hspa8"", ""Hnrnpm"", ""Cwc22"", ""Hnrnpa3"", ""Rbm8a"", ""Snrpb"", ""Snrpd3"", ""Hnrnpa1"", ""Srrm1"", 
""Coil"", ""Snrnp35"", ""Tra2b"", ""Mtrex"", ""Nup98"")"
int,1553,C5,GO:BP,15653,1379,GOBP_REGULATION_OF_RNA_SPLICING,GO:0043484,150,39,0.26,4.2533284812486277e-10,2.389307274341417e-7,2.192702761780543e-7,"c(""Ildr1"", ""Thrap3"", ""Rbm3"", ""Fus"", ""Rbm20"", ""Srpk2"", ""Ccnl1"", ""Srsf5"", ""Rbm42"", ""Raver2"", ""Ptbp2"", ""Rbm5"", ""Tmbim6"", ""Clk1"", ""Clk4"", ""Hnrnph2"", ""Dazap1"", ""Celf1"", ""U2af2"", ""Cdk12"", ""Srsf9"", ""Rbm15"", ""Srsf1"", ""Srsf2"", ""Ncl"", ""C1qbp"", ""Rnps1"", ""Hnrnpu"", ""Mbnl3"", ""Mettl16"", ""Tra2a"", ""Ptbp1"", ""Hspa8"", ""Cwc22"", ""Rbm8a"", ""Hnrnpa1"", ""Srrm1"", ""Tra2b"", ""Nup98"")"
int,1553,C5,GO:BP,15653,1379,GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS,GO:1903311,285,57,0.2,2.9162070009513058e-9,1.4561593624750187e-6,1.3363390678043528e-6,"c(""Thrap3"", ""Mov10"", ""Nt5c3b"", ""Rbm3"", ""Myd88"", ""Fus"", ""Taf15"", ""Dcp1b"", ""Srpk2"", ""Tnrc6a"", ""Rbm42"", ""Tob1"", ""Raver2"", ""Rbm5"", ""Alkbh5"", ""Hnrnpa0"", ""Hnrnpd"", ""Dazap1"", ""Prkca"", ""Celf1"", ""Ago2"", ""Dcp1a"", ""U2af2"", ""Srsf9"", ""Rbm15"", ""Khsrp"", ""Ythdf2"", ""Srsf2"", ""Ncl"", ""Pabpc4"", ""Eif4a3"", ""C1qbp"", ""Rnps1"", ""Lsm1"", ""Hnrnpu"", ""Dis3"", ""Eif4enif1"", ""Larp1"", ""Mbnl3"", ""Mettl16"", ""Hnrnpab"", ""Tra2a"", ""Ptbp1"", ""Exosc3"", ""Serbp1"", ""Hspa8"", ""Hnrnpm"", ""Cwc22"", ""Apex1"", ""Rbm8a"", ""Hnrnpa1"", ""Srrm1"", ""Cdc73"", ""Tra2b"", 
""Pde12"", ""Nup98"", ""Akt1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_MATURATION_OF_SSU_RRNA,GO:0030490,49,19,0.3877551020408163,1.1472983878183984e-8,5.155958954855882e-6,4.731700087865774e-6,"c(""Nob1"", ""Riok3"", ""Fam207a"", ""Nol10"", ""Nop9"", ""Utp4"", ""Wdr3"", ""Rrs1"", ""Bysl"", ""Bms1"", ""Dhx37"", ""Riok2"", ""Wdr46"", ""Tsr2"", ""Pwp2"", ""Nat10"", ""Utp20"", ""Heatr1"", ""Tsr1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,GO:0042273,70,23,0.32857142857142857,1.4043834673788162e-8,5.737544820364e-6,5.265430071952346e-6,"c(""Rpl7a"", ""Surf6"", ""LTO1"", ""Rsl24d1"", ""Wdr12"", ""Nop16"", ""Mrto4"", ""Rpf2"", ""Rsl1d1"", ""Bop1"", ""Rrs1"", ""Ebna1bp2"", ""Pes1"", ""Wdr74"", ""Nol9"", ""Ddx18"", ""Gtpbp4"", ""Nop2"", ""Heatr3"", ""Ppan"", ""Ftsj3"", ""Eif6"", ""Gtf3a"")"
int,1553,C5,GO:BP,15653,1379,GOBP_MRNA_PROCESSING,GO:0006397,452,76,0.168141592920354,2.548320431586536e-8,9.543460016291578e-6,8.75817495697899e-6,"c(""Ddx46"", ""Thrap3"", ""Rbm3"", ""Pnn"", ""Lsm4"", ""Cactin"", ""Rbm20"", ""Srpk2"", ""Srsf5"", ""Rbm42"", ""Raver2"", ""Ptbp2"", ""Akap8l"", ""Rbm5"", ""Scnm1"", ""Dhx35"", ""Alkbh5"", ""Hnrnpa0"", ""Supt4a"", ""Luc7l3"", ""Dazap1"", ""Celf1"", ""Rbm27"", ""Sf3a2"", ""U2af2"", ""Cpsf4"", ""Cdk12"", ""Tsen54"", ""Srsf9"", ""Rbm15"", ""Khsrp"", ""Srsf1"", ""Rbm17"", ""Srsf2"", ""Ncl"", ""Eif4a3"", ""C1qbp"", ""Ppil1"", ""Rnps1"", ""Lsm1"", ""Hnrnpu"", ""Eftud2"", ""Mbnl3"", ""Ppih"", ""Mettl16"", ""Magohb"", ""U2af1"", ""Prpf31"", ""Prpf4"", ""Tra2a"", ""Rbm19"", ""Prpf3"", ""Ptbp1"", ""Prmt5"", ""Gemin5"", 
""Hspa8"", ""Hnrnpm"", ""Cwc22"", ""Hnrnpa3"", ""Rbm8a"", ""Snrpb"", ""Snrpd3"", ""Hnrnpa1"", ""Srrm1"", ""Cdc73"", ""Coil"", ""Snrnp35"", ""Tra2b"", ""Pde12"", ""Mtrex"", ""Pdcd11"", ""Nup98"", ""Tcerg1"", ""Ppp1r8"", ""Thoc5"", ""Scaf4"")"
int,1553,C5,GO:BP,15653,1379,GOBP_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS,GO:0034248,433,73,0.16859122401847576,4.3090724912737845e-8,1.489613213521876e-5,1.3670401636283958e-5,"c(""Mov10"", ""Nt5c3b"", ""Rbm3"", ""Zfp598"", ""Eif4a2"", ""Ptk2b"", ""Dcp1b"", ""Rmnd1"", ""Tnrc6a"", ""Tob1"", ""Xrn1"", ""Paip2"", ""Hnrnpd"", ""Ifng"", ""Celf1"", ""Akt2"", ""Ago2"", ""Tigar"", ""Ddx3x"", ""Dcp1a"", ""Larp1b"", ""Khsrp"", ""Gzmb"", ""Eif4h"", ""Ythdf2"", ""Pa2g4"", ""Ncl"", ""Etf1"", ""Shmt2"", ""Eif4a3"", ""C1qbp"", ""Eif5a"", ""Shmt1"", ""Tsfm"", ""Lsm1"", ""Eif4e"", ""Eif3b"", ""Pgam1"", ""Eif2b5"", ""Hnrnpu"", ""Eprs"", ""Dis3"", ""Nolc1"", ""Ilf3"", ""Pum3"", ""Eif4enif1"", ""Larp1"", ""Cnot9"", ""Mettl16"", ""Larp4"", ""Caprin1"", ""Eif2s3x"", ""Eif2b4"", ""Eif4ebp1"", ""Pin1"", 
""Ormdl2"", ""Pura"", ""Exosc3"", ""Gemin5"", ""Pkm"", ""Eif2s1"", ""Rbm8a"", ""Eif6"", ""Eif4b"", ""Kbtbd8"", ""Pde12"", ""Nat10"", ""Ptcd3"", ""Aco1"", ""Eif4g1"", ""Gle1"", ""Akt1"", ""Dph2"")"
int,1553,C5,GO:BP,15653,1379,GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS,GO:0034504,285,54,0.18947368421052632,5.231232246633331e-8,1.6792255511692992e-5,1.54105022122627e-5,"c(""Tbrg1"", ""Mfhas1"", ""Notch1"", ""Tnpo2"", ""Mndal"", ""Ppp3ca"", ""Sp100"", ""Mdm2"", ""Pttg1ip"", ""Lif"", ""Hhex"", ""Atf2"", ""Sumo3"", ""Ifng"", ""Ppp1r10"", ""Ipo13"", ""Med1"", ""Otud7b"", ""Cblb"", ""E2f3"", ""Phb2"", ""Hdgf"", ""Rpf2"", ""Plk1"", ""Nmd3"", ""Ran"", ""Cct7"", ""Cse1l"", ""Nup62"", ""Nup155"", ""Tfrc"", ""Ect2"", ""Hnrnpu"", ""Kpnb1"", ""Nolc1"", ""Nup93"", ""Nup133"", ""Ipo7"", ""Eif4enif1"", ""Nup107"", ""Pom121"", ""Tnpo1"", ""Rrs1"", ""Bysl"", ""Pin1"", ""Rangap1"", ""Chchd10"", ""Heatr3"", ""Dkc1"", ""Cct6a"", ""Tcp1"", ""Nup98"", ""Polr1a"", ""Akt1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,GO:0048024,100,27,0.27,8.730312971392432e-8,2.6156017662291726e-5,2.4003765769765297e-5,"c(""Thrap3"", ""Rbm3"", ""Srpk2"", ""Rbm42"", ""Raver2"", ""Rbm5"", ""Dazap1"", ""Celf1"", ""U2af2"", ""Srsf9"", ""Rbm15"", ""Srsf2"", ""Ncl"", ""C1qbp"", ""Rnps1"", ""Hnrnpu"", ""Mbnl3"", ""Mettl16"", ""Tra2a"", ""Ptbp1"", ""Hspa8"", ""Cwc22"", ""Rbm8a"", ""Hnrnpa1"", ""Srrm1"", ""Tra2b"", ""Nup98"")"
int,1553,C5,GO:BP,15653,1379,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GO:0042274,71,22,0.30985915492957744,9.519657874890273e-8,2.6738339056098055e-5,2.4538170759092167e-5,"c(""Surf6"", ""Nob1"", ""Riok3"", ""Fam207a"", ""Nol10"", ""Mrps7"", ""Nop9"", ""Utp4"", ""Wdr3"", ""Rrs1"", ""Bysl"", ""Rrp7a"", ""Bms1"", ""Dhx37"", ""Riok2"", ""Wdr46"", ""Tsr2"", ""Pwp2"", ""Nat10"", ""Utp20"", ""Heatr1"", ""Tsr1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_NEGATIVE_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,GO:2000113,256,49,0.19140625,1.5601648940190595e-7,4.1243417845421496e-5,3.7849696933539785e-5,"c(""Mov10"", ""Nt5c3b"", ""Dcp1b"", ""Tnrc6a"", ""Fbh1"", ""Itm2b"", ""Tob1"", ""Xrn1"", ""S100a11"", ""Paip2"", ""Hnrnpd"", ""Celf1"", ""Ago2"", ""Ddx3x"", ""Dcp1a"", ""Hbegf"", ""Gnl3l"", ""Khsrp"", ""Gzmb"", ""Ythdf2"", ""Ncl"", ""Shmt2"", ""Eif4a3"", ""Shmt1"", ""Lsm1"", ""Eif4e"", ""Hnrnpu"", ""Eprs"", ""Dis3"", ""Ilf3"", ""Brca2"", ""Eif4enif1"", ""Larp1"", ""Cnot9"", ""Mettl16"", ""Caprin1"", ""Eif4ebp1"", ""Pura"", ""Exosc3"", ""Gtpbp4"", ""Eif2s1"", ""Eif6"", ""Hnrnpa1"", ""Slfn9"", ""Pif1"", ""Pde12"", ""Nat10"", ""Lig3"", ""Eif4g1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_RNA_CATABOLIC_PROCESS,GO:0006401,282,52,0.18439716312056736,2.2671653460449817e-7,5.660356147292304e-5,5.194592880587275e-5,"c(""Thrap3"", ""Mov10"", ""Nt5c3b"", ""Myd88"", ""Fus"", ""Lsm4"", ""Taf15"", ""Dcp1b"", ""Tnrc6a"", ""Tob1"", ""Sidt2"", ""Xrn1"", ""Pnrc2"", ""Alkbh5"", ""Hnrnpa0"", ""Hnrnpd"", ""Prkca"", ""Celf1"", ""Ago2"", ""Dcp1a"", ""Exosc4"", ""Snd1"", ""Khsrp"", ""Ythdf2"", ""Pabpc4"", ""Etf1"", ""Eif4a3"", ""Mrto4"", ""Rnps1"", ""Lsm1"", ""Pop1"", ""Hnrnpu"", ""Dis3"", ""Eif4enif1"", ""Larp1"", ""Mettl16"", ""Magohb"", ""Fen1"", ""Hnrnpab"", ""Exosc3"", ""Serbp1"", ""Dkc1"", ""Hnrnpm"", ""Apex1"", ""Rbm8a"", ""Slfn9"", ""Pde12"", ""Mtrex"", ""Elac2"", ""Ppp1r8"", ""Zc3h18"", ""Akt1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_NUCLEAR_TRANSPORT,GO:0051169,294,53,0.18027210884353742,3.6671579984094717e-7,8.673793707816929e-5,7.960069273001834e-5,"c(""Nedd4"", ""Axin1"", ""Notch1"", ""Tnpo2"", ""Rae1"", ""Ppp3ca"", ""Sp100"", ""Akap8l"", ""Pttg1ip"", ""Tcf7l2"", ""Alkbh5"", ""Hhex"", ""Atf2"", ""Ifng"", ""Ptpn11"", ""Ppp1r10"", ""Ipo13"", ""Med1"", ""Cblb"", ""E2f3"", ""Phb2"", ""Nop9"", ""Nmd3"", ""Ran"", ""Cse1l"", ""Nup62"", ""Nup155"", ""Ect2"", ""Kpnb1"", ""Nolc1"", ""Nup93"", ""Nup133"", ""Ipo7"", ""Eif4enif1"", ""Nup107"", ""Xpo4"", ""Pom121"", ""Tnpo1"", ""Rrs1"", ""Rangap1"", ""Aaas"", ""Anp32b"", ""Heatr3"", ""Hspa9"", ""Xpot"", ""Riok2"", ""Eif6"", ""Hnrnpa1"", ""Nupl2"", ""Nup98"", ""Thoc5"", ""Gle1"", ""Akt1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION,GO:0071826,178,37,0.20786516853932585,6.378541303793444e-7,1.4332582309623866e-4,1.315322359382248e-4,"c(""Kif5b"", ""Lsm4"", ""Srpk2"", ""Srsf5"", ""Ptbp2"", ""Rbm5"", ""Luc7l3"", ""Celf1"", ""Ago2"", ""Sf3a2"", ""Srsf9"", ""Eif4h"", ""Srsf1"", ""Mrps7"", ""Mrto4"", ""Ruvbl2"", ""Rpf2"", ""Bop1"", ""Eif2s3x"", ""Rrs1"", ""Prpf31"", ""Rrp7a"", ""Prpf3"", ""Ruvbl1"", ""Prmt5"", ""Nop2"", ""Gemin5"", ""Hsp90aa1"", ""Ppan"", ""Snrpb"", ""Eif6"", ""Snrpd3"", ""Eif4b"", ""Cdc73"", ""Pwp2"", ""Coil"", ""Eif3a"")"
int,1553,C5,GO:BP,15653,1379,GOBP_NEGATIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS,GO:0034249,193,39,0.20207253886010362,6.856972394028802e-7,1.4673920923221636e-4,1.34664751076716e-4,"c(""Mov10"", ""Nt5c3b"", ""Dcp1b"", ""Tnrc6a"", ""Tob1"", ""Xrn1"", ""Paip2"", ""Hnrnpd"", ""Celf1"", ""Ago2"", ""Ddx3x"", ""Dcp1a"", ""Khsrp"", ""Gzmb"", ""Ythdf2"", ""Ncl"", ""Shmt2"", ""Eif4a3"", ""Shmt1"", ""Lsm1"", ""Eif4e"", ""Hnrnpu"", ""Eprs"", ""Dis3"", ""Ilf3"", ""Eif4enif1"", ""Larp1"", ""Cnot9"", ""Mettl16"", ""Caprin1"", ""Eif4ebp1"", ""Pin1"", ""Ormdl2"", ""Pura"", ""Exosc3"", ""Eif2s1"", ""Eif6"", ""Pde12"", ""Eif4g1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,GO:0000462,36,14,0.3888888888888889,9.41961111566563e-7,1.9241696524455155e-4,1.7658390598649734e-4,"c(""Fam207a"", ""Nol10"", ""Nop9"", ""Utp4"", ""Rrs1"", ""Bysl"", ""Bms1"", ""Dhx37"", ""Wdr46"", ""Tsr2"", ""Pwp2"", ""Utp20"", ""Heatr1"", ""Tsr1"")"
